Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,066214,2024,08,12,8.4
IDCJAC0016,066214,2024,08,13,8.1
IDCJAC0016,066214,2024,08,14,6.5
IDCJAC0016,066214,2024,08,15,7.9
IDCJAC0016,066214,2024,08,16,11.8
IDCJAC0016,066214,2024,08,17,14.8
IDCJAC0016,066214,2024,08,18,10.4
IDCJAC0016,066214,2024,08,19,10.6
IDCJAC0016,066214,2024,08,20,15.6
IDCJAC0016,066214,2024,08,21,15.6
IDCJAC0016,066214,2024,08,22,13.0
IDCJAC0016,066214,2024,08,23,15.4
IDCJAC0016,066214,2024,08,24,13.9
IDCJAC0016,066214,2024,08,25,7.4
IDCJAC0016,066214,2024,08,26,16.7
IDCJAC0016,066214,2024,08,27,16.7
IDCJAC0016,066214,2024,08,28,16.5
IDCJAC0016,066214,2024,08,29,17.1
IDCJAC0016,066214,2024,08,30,17.2
IDCJAC0016,066214,2024,08,31,17.4
IDCJAC0016,066214,2024,09,01,17.7
IDCJAC0016,066214,2024,09,02,17.8
IDCJAC0016,066214,2024,09,03,18.0
IDCJAC0016,066214,2024,09,04,18.0
IDCJAC0016,066214,2024,09,05,14.5
IDCJAC0016,066214,2024,09,06,18.4
IDCJAC0016,066214,2024,09,07,15.7
IDCJAC0016,066214,2024,09,08,6.7
IDCJAC0016,066214,2024,09,09,18.3
IDCJAC0016,066214,2024,09,10,16.9
IDCJAC0016,066214,2024,09,11,17.4
IDCJAC0016,066214,2024,09,12,13.9
IDCJAC0016,066214,2024,09,13,19.0
IDCJAC0016,066214,2024,09,14,19.7
IDCJAC0016,066214,2024,09,15,16.4
IDCJAC0016,066214,2024,09,16,20.2
IDCJAC0016,066214,2024,09,17,20.3
IDCJAC0016,066214,2024,09,18,20.5
IDCJAC0016,066214,2024,09,19,20.6
IDCJAC0016,066214,2024,09,20,20.9
IDCJAC0016,066214,2024,09,21,21.1
IDCJAC0016,066214,2024,09,22,20.2
IDCJAC0016,066214,2024,09,23,21.5
IDCJAC0016,066214,2024,09,24,18.2
IDCJAC0016,066214,2024,09,25,13.2
IDCJAC0016,066214,2024,09,26,5.2
IDCJAC0016,066214,2024,09,27,12.8
IDCJAC0016,066214,2024,09,28,19.1
IDCJAC0016,066214,2024,09,29,11.1
IDCJAC0016,066214,2024,09,30,15.3
IDCJAC0016,066214,2024,10,01,22.8
IDCJAC0016,066214,2024,10,02,13.3
IDCJAC0016,066214,2024,10,03,22.2
IDCJAC0016,066214,2024,10,04,21.0
IDCJAC0016,066214,2024,10,05,18.8
IDCJAC0016,066214,2024,10,06,22.7
IDCJAC0016,066214,2024,10,07,23.2
IDCJAC0016,066214,2024,10,08,7.4
IDCJAC0016,066214,2024,10,09,11.4
IDCJAC0016,066214,2024,10,10,23.8
IDCJAC0016,066214,2024,10,11,21.3
IDCJAC0016,066214,2024,10,12,11.5
IDCJAC0016,066214,2024,10,13,20.7
IDCJAC0016,066214,2024,10,14,16.5
IDCJAC0016,066214,2024,10,15,10.4
IDCJAC0016,066214,2024,10,16,15.7
IDCJAC0016,066214,2024,10,17,25.6
IDCJAC0016,066214,2024,10,18,11.3
IDCJAC0016,066214,2024,10,19,11.7
IDCJAC0016,066214,2024,10,20,25.4
IDCJAC0016,066214,2024,10,21,18.5
IDCJAC0016,066214,2024,10,22,25.0
IDCJAC0016,066214,2024,10,23,21.1
IDCJAC0016,066214,2024,10,24,16.2
IDCJAC0016,066214,2024,10,25,25.6
IDCJAC0016,066214,2024,10,26,27.2
IDCJAC0016,066214,2024,10,27,26.2
IDCJAC0016,066214,2024,10,28,20.7
