Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,066214,2024,05,29,9.4,1,Y
IDCJAC0011,066214,2024,05,30,10.8,1,Y
IDCJAC0011,066214,2024,05,31,14.2,1,Y
IDCJAC0011,066214,2024,06,01,13.8,1,Y
IDCJAC0011,066214,2024,06,02,11.4,1,Y
IDCJAC0011,066214,2024,06,03,9.8,1,Y
IDCJAC0011,066214,2024,06,04,8.9,1,Y
IDCJAC0011,066214,2024,06,05,11.0,1,Y
IDCJAC0011,066214,2024,06,06,11.6,1,Y
IDCJAC0011,066214,2024,06,07,12.9,1,Y
IDCJAC0011,066214,2024,06,08,11.6,1,Y
IDCJAC0011,066214,2024,06,09,10.8,1,Y
IDCJAC0011,066214,2024,06,10,9.0,1,Y
IDCJAC0011,066214,2024,06,11,8.1,1,Y
IDCJAC0011,066214,2024,06,12,10.1,1,Y
IDCJAC0011,066214,2024,06,13,8.2,1,Y
IDCJAC0011,066214,2024,06,14,9.9,1,Y
IDCJAC0011,066214,2024,06,15,10.9,1,Y
IDCJAC0011,066214,2024,06,16,7.7,1,Y
IDCJAC0011,066214,2024,06,17,8.9,1,Y
IDCJAC0011,066214,2024,06,18,8.4,1,Y
IDCJAC0011,066214,2024,06,19,6.5,1,Y
IDCJAC0011,066214,2024,06,20,5.7,1,Y
IDCJAC0011,066214,2024,06,21,7.9,1,Y
IDCJAC0011,066214,2024,06,22,9.0,1,Y
IDCJAC0011,066214,2024,06,23,9.5,1,Y
IDCJAC0011,066214,2024,06,24,7.1,1,Y
IDCJAC0011,066214,2024,06,25,7.4,1,Y
IDCJAC0011,066214,2024,06,26,8.8,1,Y
IDCJAC0011,066214,2024,06,27,8.9,1,Y
IDCJAC0011,066214,2024,06,28,7.8,1,Y
IDCJAC0011,066214,2024,06,29,7.3,1,Y
IDCJAC0011,066214,2024,06,30,8.8,1,Y
IDCJAC0011,066214,2024,07,01,6.4,1,Y
IDCJAC0011,066214,2024,07,02,8.9,1,Y
IDCJAC0011,066214,2024,07,03,10.1,1,Y
IDCJAC0011,066214,2024,07,04,10.1,1,Y
IDCJAC0011,066214,2024,07,05,12.2,1,Y
IDCJAC0011,066214,2024,07,06,10.5,1,Y
IDCJAC0011,066214,2024,07,07,10.6,1,Y
IDCJAC0011,066214,2024,07,08,12.7,1,Y
IDCJAC0011,066214,2024,07,09,13.1,1,Y
IDCJAC0011,066214,2024,07,10,9.1,1,Y
IDCJAC0011,066214,2024,07,11,8.8,1,Y
IDCJAC0011,066214,2024,07,12,9.3,1,Y
IDCJAC0011,066214,2024,07,13,10.9,1,Y
IDCJAC0011,066214,2024,07,14,7.9,1,Y
IDCJAC0011,066214,2024,07,15,6.8,1,Y
IDCJAC0011,066214,2024,07,16,9.2,1,Y
IDCJAC0011,066214,2024,07,17,9.9,1,Y
IDCJAC0011,066214,2024,07,18,9.0,1,Y
IDCJAC0011,066214,2024,07,19,6.7,1,Y
IDCJAC0011,066214,2024,07,20,10.7,1,Y
IDCJAC0011,066214,2024,07,21,10.4,1,Y
IDCJAC0011,066214,2024,07,22,7.6,1,Y
IDCJAC0011,066214,2024,07,23,7.9,1,Y
IDCJAC0011,066214,2024,07,24,8.0,1,Y
IDCJAC0011,066214,2024,07,25,10.1,1,Y
IDCJAC0011,066214,2024,07,26,12.1,1,Y
IDCJAC0011,066214,2024,07,27,9.0,1,Y
IDCJAC0011,066214,2024,07,28,9.2,1,Y
IDCJAC0011,066214,2024,07,29,7.9,1,Y
IDCJAC0011,066214,2024,07,30,6.9,1,Y
IDCJAC0011,066214,2024,07,31,8.8,1,Y
IDCJAC0011,066214,2024,08,01,8.1,1,Y
IDCJAC0011,066214,2024,08,02,8.4,1,Y
IDCJAC0011,066214,2024,08,03,7.4,1,Y
IDCJAC0011,066214,2024,08,04,7.0,1,Y
IDCJAC0011,066214,2024,08,05,9.2,1,Y
IDCJAC0011,066214,2024,08,06,8.5,1,Y
IDCJAC0011,066214,2024,08,07,7.1,1,Y
IDCJAC0011,066214,2024,08,08,7.0,1,Y
IDCJAC0011,066214,2024,08,09,10.1,1,Y
IDCJAC0011,066214,2024,08,10,10.7,1,Y
IDCJAC0011,066214,2024,08,11,10.4,1,Y
IDCJAC0011,066214,2024,08,12,11.3,1,Y
IDCJAC0011,066214,2024,08,13,12.6,1,Y
IDCJAC0011,066214,2024,08,14,15.8,1,Y
IDCJAC0011,066214,2024,08,15,14.9,1,Y
IDCJAC0011,066214,2024,08,16,13.5,1,Y
IDCJAC0011,066214,2024,08,17,13.4,1,Y
IDCJAC0011,066214,2024,08,18,12.0,1,Y
IDCJAC0011,066214,2024,08,19,12.1,1,Y
IDCJAC0011,066214,2024,08,20,10.2,1,Y
IDCJAC0011,066214,2024,08,21,13.8,1,Y
IDCJAC0011,066214,2024,08,22,15.1,1,Y
IDCJAC0011,066214,2024,08,23,10.7,1,Y
IDCJAC0011,066214,2024,08,24,15.0,1,Y
IDCJAC0011,066214,2024,08,25,16.9,1,Y
IDCJAC0011,066214,2024,08,26,16.0,1,Y
IDCJAC0011,066214,2024,08,27,10.9,1,Y
IDCJAC0011,066214,2024,08,28,16.0,1,Y
IDCJAC0011,066214,2024,08,29,14.3,1,Y
IDCJAC0011,066214,2024,08,30,15.3,1,Y
IDCJAC0011,066214,2024,08,31,17.4,1,Y
IDCJAC0011,066214,2024,09,01,15.0,1,Y
IDCJAC0011,066214,2024,09,02,16.5,1,Y
IDCJAC0011,066214,2024,09,03,10.4,1,Y
IDCJAC0011,066214,2024,09,04,8.4,1,Y
IDCJAC0011,066214,2024,09,05,11.6,1,Y
IDCJAC0011,066214,2024,09,06,16.9,1,Y
IDCJAC0011,066214,2024,09,07,19.5,1,Y
IDCJAC0011,066214,2024,09,08,16.3,1,Y
IDCJAC0011,066214,2024,09,09,12.8,1,Y
IDCJAC0011,066214,2024,09,10,12.8,1,Y
IDCJAC0011,066214,2024,09,11,11.9,1,Y
IDCJAC0011,066214,2024,09,12,15.9,1,Y
IDCJAC0011,066214,2024,09,13,11.4,1,Y
IDCJAC0011,066214,2024,09,14,9.7,1,Y
IDCJAC0011,066214,2024,09,15,8.5,1,Y
IDCJAC0011,066214,2024,09,16,6.6,1,Y
IDCJAC0011,066214,2024,09,17,9.3,1,Y
IDCJAC0011,066214,2024,09,18,9.3,1,Y
IDCJAC0011,066214,2024,09,19,15.1,1,Y
IDCJAC0011,066214,2024,09,20,14.2,1,Y
IDCJAC0011,066214,2024,09,21,12.9,1,Y
IDCJAC0011,066214,2024,09,22,12.7,1,Y
IDCJAC0011,066214,2024,09,23,13.2,1,Y
IDCJAC0011,066214,2024,09,24,15.2,1,Y
IDCJAC0011,066214,2024,09,25,18.0,1,Y
IDCJAC0011,066214,2024,09,26,11.6,1,Y
IDCJAC0011,066214,2024,09,27,11.5,1,Y
IDCJAC0011,066214,2024,09,28,12.3,1,Y
IDCJAC0011,066214,2024,09,29,13.1,1,Y
IDCJAC0011,066214,2024,09,30,15.2,1,Y
IDCJAC0011,066214,2024,10,01,11.0,1,Y
IDCJAC0011,066214,2024,10,02,15.6,1,Y
IDCJAC0011,066214,2024,10,03,13.1,1,Y
IDCJAC0011,066214,2024,10,04,11.5,1,Y
IDCJAC0011,066214,2024,10,05,17.0,1,Y
IDCJAC0011,066214,2024,10,06,17.3,1,Y
IDCJAC0011,066214,2024,10,07,15.3,1,Y
IDCJAC0011,066214,2024,10,08,14.7,1,Y
IDCJAC0011,066214,2024,10,09,14.3,1,Y
IDCJAC0011,066214,2024,10,10,12.2,1,Y
IDCJAC0011,066214,2024,10,11,14.9,1,Y
IDCJAC0011,066214,2024,10,12,15.6,1,Y
IDCJAC0011,066214,2024,10,13,12.0,1,Y
IDCJAC0011,066214,2024,10,14,13.5,1,Y
IDCJAC0011,066214,2024,10,15,14.6,1,Y
IDCJAC0011,066214,2024,10,16,12.7,1,Y
IDCJAC0011,066214,2024,10,17,11.5,1,Y
IDCJAC0011,066214,2024,10,18,15.0,1,Y
IDCJAC0011,066214,2024,10,19,17.1,1,Y
IDCJAC0011,066214,2024,10,20,17.6,1,Y
IDCJAC0011,066214,2024,10,21,15.6,1,Y
IDCJAC0011,066214,2024,10,22,12.9,1,Y
IDCJAC0011,066214,2024,10,23,14.2,1,Y
IDCJAC0011,066214,2024,10,24,17.5,1,Y
IDCJAC0011,066214,2024,10,25,12.1,1,Y
IDCJAC0011,066214,2024,10,26,12.5,1,Y
IDCJAC0011,066214,2024,10,27,11.5,1,Y
IDCJAC0011,066214,2024,10,28,15.1,1,Y
IDCJAC0011,066214,2024,10,29,16.6,1,Y
IDCJAC0011,066214,2024,10,30,17.2,1,Y
IDCJAC0011,066214,2024,10,31,16.2,1,Y
IDCJAC0011,066214,2024,11,01,16.0,1,Y
IDCJAC0011,066214,2024,11,02,16.4,1,Y
IDCJAC0011,066214,2024,11,03,16.5,1,Y
IDCJAC0011,066214,2024,11,04,18.5,1,Y
IDCJAC0011,066214,2024,11,05,18.4,1,Y
IDCJAC0011,066214,2024,11,06,17.9,1,Y
IDCJAC0011,066214,2024,11,07,21.1,1,Y
IDCJAC0011,066214,2024,11,08,16.0,1,Y
IDCJAC0011,066214,2024,11,09,17.7,1,Y
IDCJAC0011,066214,2024,11,10,20.2,1,Y
IDCJAC0011,066214,2024,11,11,17.8,1,Y
IDCJAC0011,066214,2024,11,12,17.6,1,Y
IDCJAC0011,066214,2024,11,13,17.5,1,Y
IDCJAC0011,066214,2024,11,14,17.6,1,Y
IDCJAC0011,066214,2024,11,15,17.7,1,Y
IDCJAC0011,066214,2024,11,16,18.6,1,Y
IDCJAC0011,066214,2024,11,17,20.0,1,Y
IDCJAC0011,066214,2024,11,18,18.2,1,Y
IDCJAC0011,066214,2024,11,19,17.2,1,Y
IDCJAC0011,066214,2024,11,20,16.4,1,Y
IDCJAC0011,066214,2024,11,21,17.7,1,Y
IDCJAC0011,066214,2024,11,22,,,
IDCJAC0011,066214,2024,11,23,18.0,1,Y
IDCJAC0011,066214,2024,11,24,18.8,1,Y
IDCJAC0011,066214,2024,11,25,18.9,1,Y
IDCJAC0011,066214,2024,11,26,19.0,1,Y
IDCJAC0011,066214,2024,11,27,19.8,1,Y
IDCJAC0011,066214,2024,11,28,23.3,1,Y
IDCJAC0011,066214,2024,11,29,20.5,1,Y
IDCJAC0011,066214,2024,11,30,20.4,1,Y
IDCJAC0011,066214,2024,12,01,19.8,1,Y
IDCJAC0011,066214,2024,12,02,19.0,1,Y
IDCJAC0011,066214,2024,12,03,20.6,1,Y
IDCJAC0011,066214,2024,12,04,21.3,1,Y
IDCJAC0011,066214,2024,12,05,20.1,1,Y
IDCJAC0011,066214,2024,12,06,21.9,1,Y
IDCJAC0011,066214,2024,12,07,21.4,1,Y
IDCJAC0011,066214,2024,12,08,21.0,1,Y
IDCJAC0011,066214,2024,12,09,18.6,1,Y
IDCJAC0011,066214,2024,12,10,19.9,1,Y
IDCJAC0011,066214,2024,12,11,20.0,1,Y
IDCJAC0011,066214,2024,12,12,17.5,1,Y
IDCJAC0011,066214,2024,12,13,21.1,1,Y
IDCJAC0011,066214,2024,12,14,21.0,1,Y
IDCJAC0011,066214,2024,12,15,21.5,1,Y
IDCJAC0011,066214,2024,12,16,22.7,1,Y
IDCJAC0011,066214,2024,12,17,21.0,1,Y
IDCJAC0011,066214,2024,12,18,17.3,1,Y
IDCJAC0011,066214,2024,12,19,17.5,1,Y
IDCJAC0011,066214,2024,12,20,17.1,1,Y
IDCJAC0011,066214,2024,12,21,16.9,1,Y
IDCJAC0011,066214,2024,12,22,20.5,1,Y
IDCJAC0011,066214,2024,12,23,21.3,1,Y
IDCJAC0011,066214,2024,12,24,16.2,1,Y
IDCJAC0011,066214,2024,12,25,16.7,1,Y
IDCJAC0011,066214,2024,12,26,18.5,1,Y
IDCJAC0011,066214,2024,12,27,21.5,1,Y
IDCJAC0011,066214,2024,12,28,19.3,1,Y
IDCJAC0011,066214,2024,12,29,17.7,1,Y
IDCJAC0011,066214,2024,12,30,19.6,1,Y
IDCJAC0011,066214,2024,12,31,20.3,1,Y
