Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066214,2024,07,19,16.3,1,Y
IDCJAC0010,066214,2024,07,20,16.7,1,Y
IDCJAC0010,066214,2024,07,21,18.8,1,Y
IDCJAC0010,066214,2024,07,22,18.7,1,Y
IDCJAC0010,066214,2024,07,23,20.5,1,Y
IDCJAC0010,066214,2024,07,24,20.9,1,Y
IDCJAC0010,066214,2024,07,25,22.5,1,Y
IDCJAC0010,066214,2024,07,26,21.3,1,Y
IDCJAC0010,066214,2024,07,27,18.4,1,Y
IDCJAC0010,066214,2024,07,28,15.0,1,Y
IDCJAC0010,066214,2024,07,29,15.9,1,Y
IDCJAC0010,066214,2024,07,30,15.7,1,Y
IDCJAC0010,066214,2024,07,31,16.5,1,Y
IDCJAC0010,066214,2024,08,01,15.9,1,Y
IDCJAC0010,066214,2024,08,02,17.5,1,Y
IDCJAC0010,066214,2024,08,03,19.8,1,Y
IDCJAC0010,066214,2024,08,04,16.5,1,Y
IDCJAC0010,066214,2024,08,05,15.3,1,Y
IDCJAC0010,066214,2024,08,06,18.6,1,Y
IDCJAC0010,066214,2024,08,07,19.3,1,Y
IDCJAC0010,066214,2024,08,08,19.8,1,Y
IDCJAC0010,066214,2024,08,09,21.3,1,Y
IDCJAC0010,066214,2024,08,10,19.7,1,Y
IDCJAC0010,066214,2024,08,11,20.1,1,Y
IDCJAC0010,066214,2024,08,12,16.8,1,Y
IDCJAC0010,066214,2024,08,13,18.9,1,Y
IDCJAC0010,066214,2024,08,14,17.5,1,Y
IDCJAC0010,066214,2024,08,15,19.0,1,Y
IDCJAC0010,066214,2024,08,16,21.3,1,Y
IDCJAC0010,066214,2024,08,17,21.8,1,Y
IDCJAC0010,066214,2024,08,18,17.5,1,Y
IDCJAC0010,066214,2024,08,19,19.3,1,Y
IDCJAC0010,066214,2024,08,20,21.8,1,Y
IDCJAC0010,066214,2024,08,21,26.2,1,Y
