Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2024,12,11,24.0,1,Y
IDCJAC0010,086338,2024,12,12,26.5,1,Y
IDCJAC0010,086338,2024,12,13,21.7,1,Y
IDCJAC0010,086338,2024,12,14,24.2,1,Y
IDCJAC0010,086338,2024,12,15,31.6,1,Y
IDCJAC0010,086338,2024,12,16,39.4,1,Y
IDCJAC0010,086338,2024,12,17,23.4,1,Y
IDCJAC0010,086338,2024,12,18,21.8,1,Y
IDCJAC0010,086338,2024,12,19,31.1,1,Y
IDCJAC0010,086338,2024,12,20,34.6,1,Y
IDCJAC0010,086338,2024,12,21,20.3,1,Y
IDCJAC0010,086338,2024,12,22,21.6,1,Y
IDCJAC0010,086338,2024,12,23,18.5,1,Y
IDCJAC0010,086338,2024,12,24,23.0,1,Y
IDCJAC0010,086338,2024,12,25,33.4,1,Y
IDCJAC0010,086338,2024,12,26,36.7,1,Y
IDCJAC0010,086338,2024,12,27,21.5,1,Y
IDCJAC0010,086338,2024,12,28,23.7,1,Y
IDCJAC0010,086338,2024,12,29,25.3,1,Y
IDCJAC0010,086338,2024,12,30,26.9,1,Y
IDCJAC0010,086338,2024,12,31,25.0,1,Y
