Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,040913,2024,06,12,24.5,1,N
IDCJAC0010,040913,2024,06,13,21.4,1,N
IDCJAC0010,040913,2024,06,14,22.9,1,N
IDCJAC0010,040913,2024,06,15,22.5,1,N
IDCJAC0010,040913,2024,06,16,21.3,1,N
IDCJAC0010,040913,2024,06,17,20.2,1,N
IDCJAC0010,040913,2024,06,18,21.4,1,N
IDCJAC0010,040913,2024,06,19,21.3,1,N
IDCJAC0010,040913,2024,06,20,22.1,1,N
IDCJAC0010,040913,2024,06,21,24.1,1,N
IDCJAC0010,040913,2024,06,22,20.6,1,N
IDCJAC0010,040913,2024,06,23,21.5,1,N
IDCJAC0010,040913,2024,06,24,22.8,1,N
IDCJAC0010,040913,2024,06,25,23.4,1,N
IDCJAC0010,040913,2024,06,26,24.6,1,N
IDCJAC0010,040913,2024,06,27,25.1,1,N
IDCJAC0010,040913,2024,06,28,24.2,1,N
IDCJAC0010,040913,2024,06,29,22.7,1,N
IDCJAC0010,040913,2024,06,30,27.7,1,N
IDCJAC0010,040913,2024,07,01,20.1,1,Y
IDCJAC0010,040913,2024,07,02,16.6,1,Y
IDCJAC0010,040913,2024,07,03,20.0,1,Y
IDCJAC0010,040913,2024,07,04,21.4,1,Y
IDCJAC0010,040913,2024,07,05,21.6,1,Y
IDCJAC0010,040913,2024,07,06,21.9,1,Y
IDCJAC0010,040913,2024,07,07,21.9,1,Y
IDCJAC0010,040913,2024,07,08,20.8,1,Y
IDCJAC0010,040913,2024,07,09,22.4,1,Y
IDCJAC0010,040913,2024,07,10,24.0,1,Y
IDCJAC0010,040913,2024,07,11,24.4,1,Y
IDCJAC0010,040913,2024,07,12,23.7,1,Y
IDCJAC0010,040913,2024,07,13,20.7,1,Y
IDCJAC0010,040913,2024,07,14,19.7,1,Y
IDCJAC0010,040913,2024,07,15,19.0,1,Y
IDCJAC0010,040913,2024,07,16,18.5,1,Y
IDCJAC0010,040913,2024,07,17,16.4,1,Y
IDCJAC0010,040913,2024,07,18,19.0,1,Y
IDCJAC0010,040913,2024,07,19,20.6,1,Y
IDCJAC0010,040913,2024,07,20,23.2,1,Y
IDCJAC0010,040913,2024,07,21,21.2,1,Y
IDCJAC0010,040913,2024,07,22,22.1,1,Y
IDCJAC0010,040913,2024,07,23,23.3,1,Y
IDCJAC0010,040913,2024,07,24,23.7,1,Y
IDCJAC0010,040913,2024,07,25,23.9,1,Y
IDCJAC0010,040913,2024,07,26,24.7,1,Y
IDCJAC0010,040913,2024,07,27,23.4,1,Y
IDCJAC0010,040913,2024,07,28,22.4,1,Y
IDCJAC0010,040913,2024,07,29,20.4,1,Y
IDCJAC0010,040913,2024,07,30,20.9,1,Y
IDCJAC0010,040913,2024,07,31,21.7,1,Y
IDCJAC0010,040913,2024,08,01,21.9,1,Y
IDCJAC0010,040913,2024,08,02,22.4,1,Y
IDCJAC0010,040913,2024,08,03,23.3,1,Y
IDCJAC0010,040913,2024,08,04,22.7,1,Y
IDCJAC0010,040913,2024,08,05,21.9,1,Y
IDCJAC0010,040913,2024,08,06,23.0,1,Y
IDCJAC0010,040913,2024,08,07,22.7,1,Y
IDCJAC0010,040913,2024,08,08,20.4,1,Y
IDCJAC0010,040913,2024,08,09,22.5,1,Y
IDCJAC0010,040913,2024,08,10,23.9,1,Y
IDCJAC0010,040913,2024,08,11,23.6,1,Y
IDCJAC0010,040913,2024,08,12,21.2,1,Y
IDCJAC0010,040913,2024,08,13,20.9,1,Y
IDCJAC0010,040913,2024,08,14,20.2,1,Y
IDCJAC0010,040913,2024,08,15,25.6,1,Y
IDCJAC0010,040913,2024,08,16,27.6,1,Y
IDCJAC0010,040913,2024,08,17,29.5,1,Y
IDCJAC0010,040913,2024,08,18,25.1,1,Y
IDCJAC0010,040913,2024,08,19,24.0,1,Y
IDCJAC0010,040913,2024,08,20,23.2,1,Y
IDCJAC0010,040913,2024,08,21,24.9,1,Y
IDCJAC0010,040913,2024,08,22,25.9,1,Y
IDCJAC0010,040913,2024,08,23,25.6,1,Y
IDCJAC0010,040913,2024,08,24,26.4,1,Y
IDCJAC0010,040913,2024,08,25,27.0,1,Y
IDCJAC0010,040913,2024,08,26,28.3,1,Y
IDCJAC0010,040913,2024,08,27,27.7,1,Y
IDCJAC0010,040913,2024,08,28,29.5,1,Y
IDCJAC0010,040913,2024,08,29,31.5,1,Y
IDCJAC0010,040913,2024,08,30,29.8,1,Y
IDCJAC0010,040913,2024,08,31,32.9,1,Y
IDCJAC0010,040913,2024,09,01,31.0,1,Y
IDCJAC0010,040913,2024,09,02,33.5,1,Y
IDCJAC0010,040913,2024,09,03,24.9,1,Y
IDCJAC0010,040913,2024,09,04,22.9,1,Y
IDCJAC0010,040913,2024,09,05,24.0,1,Y
IDCJAC0010,040913,2024,09,06,25.0,1,Y
IDCJAC0010,040913,2024,09,07,27.3,1,Y
IDCJAC0010,040913,2024,09,08,27.2,1,Y
IDCJAC0010,040913,2024,09,09,28.4,1,Y
IDCJAC0010,040913,2024,09,10,26.2,1,Y
IDCJAC0010,040913,2024,09,11,26.1,1,Y
IDCJAC0010,040913,2024,09,12,27.2,1,Y
IDCJAC0010,040913,2024,09,13,23.4,1,Y
IDCJAC0010,040913,2024,09,14,23.5,1,Y
IDCJAC0010,040913,2024,09,15,26.7,1,Y
IDCJAC0010,040913,2024,09,16,24.3,1,Y
IDCJAC0010,040913,2024,09,17,24.8,1,Y
IDCJAC0010,040913,2024,09,18,25.4,1,Y
IDCJAC0010,040913,2024,09,19,29.0,1,Y
IDCJAC0010,040913,2024,09,20,29.5,1,Y
IDCJAC0010,040913,2024,09,21,29.2,1,Y
IDCJAC0010,040913,2024,09,22,26.8,1,Y
IDCJAC0010,040913,2024,09,23,28.1,1,Y
IDCJAC0010,040913,2024,09,24,26.8,1,Y
IDCJAC0010,040913,2024,09,25,25.7,1,Y
IDCJAC0010,040913,2024,09,26,27.0,1,Y
IDCJAC0010,040913,2024,09,27,23.5,1,Y
IDCJAC0010,040913,2024,09,28,23.9,1,Y
IDCJAC0010,040913,2024,09,29,27.5,1,Y
IDCJAC0010,040913,2024,09,30,28.6,1,Y
IDCJAC0010,040913,2024,10,01,26.1,1,Y
IDCJAC0010,040913,2024,10,02,24.6,1,Y
IDCJAC0010,040913,2024,10,03,24.1,1,Y
IDCJAC0010,040913,2024,10,04,24.3,1,Y
IDCJAC0010,040913,2024,10,05,28.7,1,Y
IDCJAC0010,040913,2024,10,06,32.5,1,Y
IDCJAC0010,040913,2024,10,07,32.0,1,Y
IDCJAC0010,040913,2024,10,08,31.3,1,Y
IDCJAC0010,040913,2024,10,09,25.6,1,Y
IDCJAC0010,040913,2024,10,10,23.6,1,Y
IDCJAC0010,040913,2024,10,11,25.1,1,Y
IDCJAC0010,040913,2024,10,12,27.2,1,Y
IDCJAC0010,040913,2024,10,13,22.4,1,Y
IDCJAC0010,040913,2024,10,14,24.5,1,Y
IDCJAC0010,040913,2024,10,15,27.1,1,Y
IDCJAC0010,040913,2024,10,16,24.9,1,Y
IDCJAC0010,040913,2024,10,17,27.4,1,Y
IDCJAC0010,040913,2024,10,18,27.6,1,Y
IDCJAC0010,040913,2024,10,19,30.1,1,Y
IDCJAC0010,040913,2024,10,20,26.9,1,Y
IDCJAC0010,040913,2024,10,21,28.2,1,Y
IDCJAC0010,040913,2024,10,22,27.9,1,Y
IDCJAC0010,040913,2024,10,23,28.3,1,Y
IDCJAC0010,040913,2024,10,24,31.6,1,Y
IDCJAC0010,040913,2024,10,25,29.8,1,Y
IDCJAC0010,040913,2024,10,26,25.6,1,Y
IDCJAC0010,040913,2024,10,27,26.8,1,Y
IDCJAC0010,040913,2024,10,28,27.1,1,Y
IDCJAC0010,040913,2024,10,29,29.2,1,Y
IDCJAC0010,040913,2024,10,30,26.9,1,Y
IDCJAC0010,040913,2024,10,31,29.4,1,Y
IDCJAC0010,040913,2024,11,01,30.4,1,N
IDCJAC0010,040913,2024,11,02,27.5,1,N
IDCJAC0010,040913,2024,11,03,28.3,1,N
IDCJAC0010,040913,2024,11,04,29.7,1,N
IDCJAC0010,040913,2024,11,05,31.7,1,N
IDCJAC0010,040913,2024,11,06,29.5,1,N
IDCJAC0010,040913,2024,11,07,30.7,1,N
IDCJAC0010,040913,2024,11,08,30.9,1,N
IDCJAC0010,040913,2024,11,09,31.5,1,N
IDCJAC0010,040913,2024,11,10,30.0,1,N
IDCJAC0010,040913,2024,11,11,29.5,1,N
IDCJAC0010,040913,2024,11,12,29.9,1,N
IDCJAC0010,040913,2024,11,13,29.8,1,N
IDCJAC0010,040913,2024,11,14,33.5,1,N
IDCJAC0010,040913,2024,11,15,29.2,1,N
IDCJAC0010,040913,2024,11,16,26.7,1,N
IDCJAC0010,040913,2024,11,17,28.4,1,N
IDCJAC0010,040913,2024,11,18,28.8,1,N
IDCJAC0010,040913,2024,11,19,24.9,1,N
IDCJAC0010,040913,2024,11,20,23.1,1,N
IDCJAC0010,040913,2024,11,21,23.4,1,Y
IDCJAC0010,040913,2024,11,22,24.1,1,N
IDCJAC0010,040913,2024,11,23,26.6,1,N
IDCJAC0010,040913,2024,11,24,27.3,1,N
IDCJAC0010,040913,2024,11,25,27.5,1,N
IDCJAC0010,040913,2024,11,26,28.1,1,N
IDCJAC0010,040913,2024,11,27,29.7,1,N
IDCJAC0010,040913,2024,11,28,30.7,1,N
IDCJAC0010,040913,2024,11,29,29.0,1,N
IDCJAC0010,040913,2024,11,30,27.1,1,N
IDCJAC0010,040913,2024,12,01,29.4,1,Y
IDCJAC0010,040913,2024,12,02,31.0,1,Y
IDCJAC0010,040913,2024,12,03,30.1,1,Y
IDCJAC0010,040913,2024,12,04,29.6,1,Y
IDCJAC0010,040913,2024,12,05,29.8,1,Y
IDCJAC0010,040913,2024,12,06,30.6,1,Y
